Nombre,Precio,ImageUrl
"""TABLET SAMSUNG P205 TAB 8 PULG. DE 32GB. LTE COLOR NEGRO""","2.699,10 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_e02688_zjavocfvzc7wgjtw.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR SAMSUNG A525 DUAL SIM DE 128GB/ 6GB RAM COLOR NEGRO""","3.418,67 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06577-celular-samsung-boliva.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""TECLACO INHALAMBRICO TOUCHPAD T650 Recargable LOG910003447(P)""","289,99 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00552-touchpad-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""AUDÍFONO TUNE JBL INALAMBRICO T750BT COLOR NEGRO""","799,02 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e02810-audifonos-jbl-en-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR REALME 8 4GB RAM/ 128GB ALM/ COLOR NEGRO""","2.498,99 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06620_celular-readmi8.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR IPHONE 13 PRO 128GB COLOR GRAFITO""","12.444,05 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06641-iphone-13-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR XIAOMI REDMI NOTE 10S 6GB DE RAM/128 GB ALM COLOR GRIS""","2.918,98 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06643_xiaomi-redmi-note-10s-dual-sim-lte.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR SAMSUNG A12 128 GB / 4 GB DE RAM / DUAL SIM COLOR AZUL""","1.999,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06647_samsung_a12-blue.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR XIAOMI REDMI 10 - 4GB RAM /128GB GRAY""","2.498,99 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06667-xiaomi-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR XIAOMI POCO F3 6GB RAM/128 GB COLOR NEGRO""","3.498,96 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06677-xiamomi-santa-cruz.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR SAMSUNG A12 128 GB / 4 GB DE RAM / DUAL SIM COLOR NEGRO""","1.999,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06570.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR XIAOMI REDMI NOTE 10 PRO - 6GB RAM /128GB DUAL SIM COLOR GRIS""","3.598,96 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06627_celular-note10-pro.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""MK220 Combo Teclado y Mouse inalambrico LOG920004430""","181,04 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00550-combo-mouse-y-teclado.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR SAMSUNG A52S (SM-A528B/DS) DUAL SIM DE 128GB/ 6GB RAM COLOR NEGRO""","3.806,10 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06655_samsung-galaxy-a52s-5g-dual-sim.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DEL 2N1 INSPIROS 14 5410, CORE i5-1155G7/ 14' FHD/ 2x4GB/ 256GB M.2 SSD/ W10H""","9.349,15 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00991-dell-computadora-tipo-tablet.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL VOSTRO 5410, CORE i5-11300H/ 14' FHC/ 8GB/ 256GB SSD M2/ W10PRO""","9.606,83 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00990-laptop-dell-en-santa-cruz.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR XIAOMI POCO X3 GT 8GB RAM/128 GB COLOR NEGRO""","3.198,97 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06674-pocophone-xiaomi-santa-cruz_1.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR REALME NARZO 30 5G 4GB DE RAM/128 GB ALM COLOR AZUL""","2.258,99 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06671-celular-realme-azul.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""COMBO NOTEBOOK DELL 5510 I7 + IMPRESORA EPSON L3250""","11.212,03 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/b/cb1309-impresora.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK ASUS VivoBook INTEL CORE I3 1005G1/4Gb RAM/128GB SSD/15.6 Pulg Touch/Win 10 Slim/COLOR PLAT""","4.184,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00902.png?quality=70&fit=bounds&height=270&width=270&canvas=270:270&format=jpeg
"""SMARTWATCH ZTE Y8 CON BLUETOOTH COLOR NEGRO""","269,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_e02749_j6fq2g86j5uqqckv.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""MOUSE LOGITECH INALAMBRICO M190 COLOR ROJO""","119,04 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00897-mousse-rojo-inalambrico-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL CORE I7-10750H / G5 15 5500 /15.6 HD/ 8GB RAM/ 256GB ALM/ 4GTX /W.10""","8.999,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00901_2.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL CORE I3-1005 G1 / 14 HD/ 4GB RAM/ 128GB ALM / WEBCAM""","4.223,12 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00935.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL Latitude 5510, CORE I7-10610U 1.8GHz, 8GB, 256GB SSD, UHD Graphics 620, Webcam, BT, F""","9.998,82 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00939_1.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK HP 240  CORE i3 -1005G1 /14 PULG/ 4GB/ 500GB SSD/ W10""","4.409,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00951-computadora-hp-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CABLE IPHONE 1M ORIGINAL APPLE APPL01""","120,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/a/cable-iphone-1m-original-apple-appl01.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CABLE IPHONE 2M ORIGINAL APPLE APPL03""","150,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00955.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL CORE I5-10300H / G5 15 5500 /15.6 HD/ 8GB RAM/ 256GB ALM /W.10""","7.998,86 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00903.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL VOSTRO CORE i5 3591-10210U /4GB/15.6 HD /HD / 1TB /FREEDOS""","6.198,90 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00904.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""IMPRESORA EPSON  L5290 MULTIFUNCIÓN, SCANNER, FAX, COPIADORA, WI-FI, TINTA CONTINUA ORIGINAL""","4.178,95 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00968_impresora_111.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""IMPRESORA EPSON L3210 MULTIFUNCION, SCANNER, COPIADORA, SISTEMA DE TINTA CONTINUO ORIGINAL""","2.198,99 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00969_ecotank_bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""LOGITECH WIRELESS KEYBOARD K230 LOG920004424""","153,12 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00347-keyboard-inalambrico.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""TABLET SAMSUNG P200 TAB A 8 PULG /SOLO WIFI COLOR NEGRO""","1.869,15 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00883_tablet-samsung-p200.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""PRESENTADOR PUNTERO LOGITEC R500 COLOR NEGRO""","399,02 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00820-apuntador-en-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DEL INSPIRON 5510, CORE i5-11300H/15.6' FHD/ 8GB DDR4 3200/ SSD 256GB/ W10H/ COLOR AZUL""","7.734,15 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00992dell-5510.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL LATITUDE 5520, CORE i5-1135G7/ 15.6' / 8GB/ 256GB M2 SSD/W10PRO""","10.454,15 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00989-laptop-dell.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL LATITUDE 3520 CORE i5-1135G7/ 15.6 HD/ 8G RAM/ SATA 1TB/ W10PRO""","9.706,83 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00988-dell-laptop-black.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR XIAOMI POCO M4 PRO 4GB RAM/64 GB COLOR NEGRO""","2.303,10 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06676-poco-m4-xiaomi-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CELULAR REALME GT MASTER 8GB DE RAM/256 GB ALM COLOR GRIS""","3.599,10 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e06672-realme-gt-master-santa-cruz.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DEL INSPIRON 5510, CORE i7-11390H/ 15.6'FHD/ 12GB 3200/ 512GB M.2 SDD/ W10H/ COLOR AZUL""","10.199,15 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00987-notebook-bolivia-en-oferta_1.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL LATITUDE 5520, CORE i7-1165G7/ 15.6' FHD/ 1x16GB DDR4/ SSD 512GB NVMe/ W10PRO""","14.006,73 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00989-laptop-grios-en-santa-cruz_1.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""BOTELLA DE TINTA PARA IMPRESORA EPSON EPST664120-AL NEGRO""","59,04 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_c00222_bzblvbmkgepikqzs.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""NOTEBOOK DELL 15.6'FHD INSPIRON 3593, i3-1005G1""","4.319,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00903_2.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""IMPRESORA EPSON MULTIFUNCION L3250 IMPRESORA, SCANNER, COPIADORA, Wireless tinta continua wi fi dire""","2.458,99 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00970-impresoras-epsoon-bolivia.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""CONSOLA PLAY STATION 5 COLOR BLANCO CON CD""","8.798,85 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_e02782_1lg11zng9lmw2wz7.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""MANDO INALAMBRICO PLAY STATION 5 COLOR BLANCO""","699,02 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/e/0/e02793.jpeg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""MOUSE SILENCIOSO M110""","69,04 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_c00749_i07zlxn0sibsr2pe.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""TABLET ALCATEL 8094M - 3T 10“ 4G LTE - 2GB/32GB COLOR NEGRO""","1.629,00 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_c00842_hll2cl8m6b2sbrug.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""TABLET AMAZON Fire KIDS 8 PULG 32GB COLOR AZUL""","999,02 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_c00843_nro8nadydvbp0jpk.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""TABLET AMAZON Fire KIDS 8 PULG  32GB COLOR ROSADO""","999,02 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_c00844_aufyxa8qwroy605o.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""TABLET SAMSUNG P200 TAB A 8 PULG /SOLO WIFI COLOR GRIS""","1.869,15 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/c/0/c00881.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
"""COMBO TECLADO Y MOUSE MICROSOFT 600""","99,50 Bs.",https://www.tiendaamiga.com.bo/media/catalog/product/s/k/sku_c00817_urfwt0gr9frnsgli.jpg?quality=70&fit=bounds&height=270&width=270&canvas=270:270
